store_code,name,address,locality,pickup_zone,active,phone,opening_hours,notes
MYC-TARXIEN-2,MyConvenience Tarxien 2,"Triq ix- Xintill, Tarxien",Tarxien,Tarxien,true,22498275,6am - 10pm,
MYC-SANTA-VENERA-5,MyConvenience Santa Venera 5,"Triq il-Kappillan Mifsud, Santa Venera",Santa Venera,Santa Venera,true,22498352,6am - 10pm,
MYC-ST-PAULS-BAY,MyConvenience St Paul’s Bay,"Triq San Pawl, St Paul's Bay",St Paul's Bay,St Paul's Bay,true,22498334,6am - 10pm,
MYC-ZEJTUN-3,MyConvenience Zejtun 3,"Labour road, Zejtun",Zejtun,Zejtun,true,22498314,6am - 21pm,
MYC-SLIEMA-4,MyConvenience Sliema 4,"Triq Sir Adrian Dingli, Sliema",Sliema,Sliema,true,22498320,6am - 10pm,
MYC-SAFI,MyConvenience Safi,"70 Triq Iż-Żurrieq, Ħal Safi",Ħal Safi,Ħal Safi,true,22498240,6am - 9pm,
MYC-QORMI-1,MyConvenience Qormi 1,"Triq Tal-Hammieri, Ħal Qormi",Qormi,Qormi,true,22498203,6am - 10pm,
MYC-QAWRA-3-ST-PAULS-BAY,MyConvenience Qawra 3 (St Paul’s Bay),"Tourist St, St Paul's Bay",St Paul's Bay,St Paul's Bay,true,22498361,6am - 10pm,
MYC-QAWRA-1-ST-PAULS-BAY,MyConvenience Qawra 1 (St Paul’s Bay),"Dawret il Qawra, Qawra",St Paul's Bay,St Paul's Bay,true,22498279,6am - 10pm,
MYC-NAXXAR-1,MyConvenience Naxxar 1,"Triq Labour Avenue , Naxxar",Naxxar,Naxxar,true,22498223,6am - 10pm,
MYC-MSIDA-2,MyConvenience Msida 2,Triq l -Isqof F.S. Caruana,Msida,Msida,true,22498219,7AM - 12 AM,
MYC-MSIDA-1,MyConvenience Msida 1,Triq Il - Principessa Margerita Ta' Xbiex,Msida,Msida,true,22498217,6am - 9pm,
MYC-MQABBA,MyConvenience Mqabba,"St Catherine Str, Mqabba",Mqabba,Mqabba,true,22498235,6am - 10pm,
MYC-MOSTA-3,MyConvenience Mosta 3,"Constitution street, Mosta",Mosta,Mosta,true,22498271,6am - 10pm,
MYC-LUQA,MyConvenience Luqa,"Triq Il-Vitmi Tal-Gwerrer ,Luqa",Luqa,Luqa,true,22498230,6am - 11pm,
MYC-GZIRA-3,MyConvenience Gzira 3,"Triq Naziu Ellul ,Gzira",Gzira,Gzira,true,22498215,7am - 10pm,
MYC-GZIRA-2,MyConvenience Gzira 2,"148 Triq Carlo Manche', Gzira",Gzira,Gzira,true,22498213,6am - 10pm,
MYC-GZIRA-1,MyConvenience Gzira 1,"58 Gzira Road , Gzira",Gzira,Gzira,true,22498211,7:00am - 00:00am,
MYC-GARGUR,MyConvenience Għargħur,"16 Triq l-Oratorju, Ħal Għargħur",Ħal Għargħur,Ħal Għargħur,true,22498268,6am - 10pm,
MYC-FGURA-1,MyConvenience Fgura 1,"Zabbar Road , Fgura",Fgura,Fgura,true,22498238,6am - 10pm,
MYC-BUGIBBA-1-TEMPORARILY-CLOSED,MyConvenience Bugibba 1 (Temporarily Closed),"109 Dawret Il-Gzejjer, Bugibba",Temporarily Closed,Temporarily Closed,true,22498228,7:45am - 10pm,Temporarily Closed
MYC-BORMLA-COSPICUA,MyConvenience Bormla (Cospicua),"Triq l-Inkurunazzjoni, Bormla",Cospicua,Cospicua,true,22498245,6am - 11pm,
MYC-BIRKIRKARA-3-BKARA,MyConvenience Birkirkara 3 (B’kara),Triq M. Pulis,Birkirkara,Birkirkara,true,22498345,6am - 10pm,
MYC-BIRKIRKARA-1-BKARA,MyConvenience Birkirkara 1 (B’Kara),"Mons Alfred Mifsud str, Birkirkara, Malta",Birkirkara,Birkirkara,true,22498209,6am - 10pm,
